Тип_документа;Документ;Описание_документа;Ду;D1;D2;D3;D4;D5;h1;h2;h3;d;n;Наименование_фланца
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;10;15;15;75;35;50;0;8;2;11;4;Фланец 1-10-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;15;19;19;80;40;55;0;8;2;11;4;Фланец 1-15-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;20;26;26;90;50;65;0;10;2;11;4;Фланец 1-20-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;25;33;33;100;60;75;0;10;2;11;4;Фланец 1-25-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;32;39;39;120;70;90;0;10;2;14;4;Фланец 1-32-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;40;46;46;130;80;100;0;10;3;14;4;Фланец 1-40-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;50;59;59;140;90;110;0;10;3;14;4;Фланец 1-50-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;65;78;78;160;110;130;0;11;3;14;4;Фланец 1-65-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;80;91;91;185;128;150;0;11;3;18;4;Фланец 1-80-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;100(110);110;110;205;148;170;0;11;3;18;4;Фланец 1-100(110)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;100(116);116;116;205;148;170;0;11;3;18;4;Фланец 1-100(116)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;125(135);135;135;235;178;200;0;13;3;18;8;Фланец 1-125(135)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;125(142);142;142;235;178;200;0;13;3;18;8;Фланец 1-125(142)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(154);154;154;260;202;225;0;13;3;18;8;Фланец 1-150(154)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(161);161;161;260;202;225;0;13;3;18;8;Фланец 1-150(161)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;150(170);170;170;260;202;225;0;13;3;18;8;Фланец 1-150(170)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(175);196;196;290;232;255;0;13;3;18;8;Фланец 1-(175)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;200;222;222;315;258;280;0;15;3;18;8;Фланец 1-200-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(225);245;245;340;282;305;0;17;3;18;8;Фланец 1-(225)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;250;273;273;370;312;335;0;18;3;18;12;Фланец 1-250-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;300;325;325;435;365;395;0;18;4;22;12;Фланец 1-300-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;350;377;377;485;415;445;0;18;4;22;12;Фланец 1-350-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;400;426;426;535;465;495;0;18;4;22;16;Фланец 1-400-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(450);480;480;590;520;550;0;20;4;22;16;Фланец 1-(450)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;500;530;530;640;570;600;0;20;4;22;20;Фланец 1-500-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;600;630;630;755;670;705;0;20;5;26;20;Фланец 1-600-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(700);720;720;860;775;810;0;21;5;26;24;Фланец 1-(700)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;800;820;820;975;880;920;0;21;5;30;24;Фланец 1-800-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;(900);920;920;1075;980;1020;0;23;5;30;24;Фланец 1-(900)-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1000;1020;1020;1175;1080;1120;0;25;5;30;28;Фланец 1-1000-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1200;1220;1220;1375;1280;1320;0;25;5;30;32;Фланец 1-1200-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1400;1420;1420;1575;1480;1520;0;27;5;30;36;Фланец 1-1400-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,1 и 0,25 МПа;Фланцы стальные плоские приварные;1600;1620;1620;1785;1690;1730;0;27;5;30;40;Фланец 1-1600-2,5 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;10;15;15;75;35;50;0;10;2;11;4;Фланец 1-10-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;15;19;19;80;40;55;0;10;2;11;4;Фланец 1-15-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;20;26;26;90;50;65;0;12;2;11;4;Фланец 1-20-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;25;33;33;100;60;75;0;12;2;11;4;Фланец 1-25-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;32;39;39;120;70;90;0;13;2;14;4;Фланец 1-32-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;40;46;46;130;80;100;0;13;3;14;4;Фланец 1-40-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;50;59;59;140;90;110;0;13;3;14;4;Фланец 1-50-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;65;78;78;160;110;130;0;13;3;14;4;Фланец 1-65-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;80;91;91;185;128;150;0;15;3;18;4;Фланец 1-80-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;100(110);110;110;205;148;170;0;15;3;18;4;Фланец 1-100(110)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;100(116);116;116;205;148;170;0;15;3;18;4;Фланец 1-100(116)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;125(135);135;135;235;178;200;0;17;3;18;8;Фланец 1-125(135)-6 ст. 20 ГОСТ 12820-80
ГОСТ;ГОСТ 12820-80 Ру 0,6 МПа;Фланцы стальные плоские приварные;125(142);142;142;235;178;200;0;17;3;18;8;Фланец 1-125(142)-6 ст. 20 ГОСТ 12820-80
