Тип_документа;Документ;Описание_документа;DN1;DN2;D1_geom;D2_geom;T1;T2;L;massa;Наименование_перехода
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;20;15;26.8;21.3;2.8;2.8;38;0.07;Переход К-1-26.8х2.8-21.3х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;25;15;33.5;21.3;3.2;2.8;51;0.12;Переход К-1-33.5х3.2-21.3х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;25;20;33.5;26.9;3.2;3.2;51;0.12;Переход К-1-33.5х3.2-26.9х3.2 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;32;15;42.3;21.3;3.2;2.8;51;0.17;Переход К-1-42.3х3.2-21.3х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;32;20;42.3;26.8;3.2;2.8;51;0.17;Переход К-1-42.3х3.2-26.8х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;32;25;42.3;33.5;3.2;3.2;51;0.17;Переход К-1-42.3х3.2-33.5х3.2 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;40;20;48;26.8;3.5;2.8;64;0.25;Переход К-1-48х3.5-26.8х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;40;25;48;33.5;3.5;2.8;64;0.25;Переход К-1-48х3.5-33.5х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;40;32;48;42.3;3.5;3.2;64;0.25;Переход К-1-48х3.5-42.3х3.2 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;50;25;57;33.7;3;2.8;76;0.42;Переход К-1-57х3-33.7х2.8 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;50;32;57;42.3;3;3.2;76;0.42;Переход К-1-57х3-42.3х3.2 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;50;40;57;48;3;3.5;76;0.42;Переход К-1-57х3-48х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;65;32;76;42.3;3.5;3.2;89;0.78;Переход К-1-76х3.5-42.3х3.2 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;65;40;76;48;3.5;3.5;89;0.78;Переход К-1-76х3.5-48х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;65;50;76;57;3.5;3;89;0.78;Переход К-1-76х3.5-57х3 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;80;40;89;48;3.5;3.5;89;1;Переход К-1-89х3.5-48х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;80;50;89;57;3.5;3;89;1;Переход К-1-89х3.5-57х3 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;80;65;89;76;3.5;3.5;89;1;Переход К-1-89х3.5-76х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;100;50;114;57;4;3;102;1.7;Переход К-1-114х4-57х3 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;100;65;114;76;4;3.5;102;1.7;Переход К-1-114х4-76х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;100;80;114;89;4;3.5;102;1.7;Переход К-1-114х4-89х3.5 ГОСТ 17378-2001
ГОСТ;ГОСТ 17378-2001;Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ПЕРЕХОДЫ;125;65;133;76;4;3.5;127;2.6;Переход К-1-133х4-76х3.5 ГОСТ 17378-2001
