Тип_документа;Документ;Описание_документа;Ду1;Ду2;Дн1;Дн2;L1;L2;Стенка1;Стенка2;Масса;Наименование_тройника
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;15;15;21.3;21.3;50;25;3.2;3.2;0.3;Тройник 15х3.2ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;20;15;26.8;21.3;58;29;3.2;3.2;0.42;Тройник 20х3.2-15х3.2-20х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;20;20;26.8;26.8;58;29;3.2;3.2;0.37;Тройник 20х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;25;15;33.5;21.3;76;38;3.2;3.2;0.35;Тройник 25х3.2-15х3.2-25х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;25;20;33.5;26.8;76;38;3.2;3.2;0.35;Тройник 25х3.2-20х3.2-25х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;25;25;33.5;33.5;76;38;3.2;3.2;0.64;Тройник 25х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;32;15;42.3;21.3;96;48;3.2;3.2;1.1;Тройник 32х3.2-15х3.2-32х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;32;20;42.3;26.8;96;48;3.2;3.2;1.1;Тройник 32х3.2-20х3.2-32х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;32;25;42.3;33.5;96;48;3.2;3.2;1.1;Тройник 32х3.2-25х3.2-32х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;32;32;42.3;42.3;96;48;3.2;3.2;1.1;Тройник 32х3.2 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;40;20;48;26.8;114;57;3.5;3.2;1.4;Тройник 40х3.5-20х3.2-40х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;40;25;48;33.5;114;57;3.5;3.2;1.4;Тройник 40х3.5-25х3.2-40х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;40;32;48;42.3;114;57;3.5;3.2;1.4;Тройник 40х3.5-32х3.2-40х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;40;40;48;48;114;57;3.5;3.5;1.4;Тройник 40х3.5 ГОСТ 17376-2001
